source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	source
wikipathways	WP100	Glutathione metabolism	speciesSpecific	go	GO:0006749	glutathione metabolic process	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP1002	Electron Transport Chain	speciesSpecific	go	GO:0022900	electron transport chain	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP1009	MAPK Cascade	speciesSpecific	go	GO:0000165	MAPK cascade	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP1011	TCR Signaling Pathway	speciesSpecific	go	GO:0050852	T cell receptor signaling pathway	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP1014	Androgen receptor signaling pathway	speciesSpecific	go	GO:0030521	androgen receptor signaling pathway	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP1016	Wnt Signaling Pathway	speciesSpecific	go	GO:0016055	Wnt signaling pathway	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP1018	Apoptosis	speciesSpecific	go	GO:0006915	apoptotic process	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP1020	Fatty Acid Biosynthesis	speciesSpecific	go	GO:0006633	fatty acid biosynthetic process	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP1023	mRNA Processing	speciesSpecific	go	GO:0006397	mRNA processing	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP1024	Steroid Biosynthesis	speciesSpecific	go	GO:0006694	steroid biosynthetic process	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP1025	B Cell Receptor Signaling Pathway	speciesSpecific	go	GO:0050853	B cell receptor signaling pathway	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP103	Cholesterol Biosynthesis	speciesSpecific	go	GO:0006695	cholesterol biosynthetic process	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP1032	NLR Proteins	speciesSpecific	mesh	D000070576	NLR Proteins	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP1050	Oxidative Stress	speciesSpecific	mesh	D018384	Oxidative Stress	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP1053	Estrogen metabolism	speciesSpecific	go	GO:0008210	estrogen metabolic process	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP999	TCA Cycle	speciesSpecific	go	GO:0006099	tricarboxylic acid cycle	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP964	Cell cycle	speciesSpecific	go	GO:0007049	cell cycle	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP1083	Cell Cycle	speciesSpecific	go	GO:0007049	cell cycle	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP1290	Apoptosis	speciesSpecific	go	GO:0006915	apoptotic process	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP1254	Apoptosis	speciesSpecific	go	GO:0006915	apoptotic process	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP1200	Cell cycle	speciesSpecific	go	GO:0007049	cell cycle	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP1539	Angiogenesis	speciesSpecific	go	GO:0001525	angiogenesis	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP1393	Cell cycle	speciesSpecific	go	GO:0007049	cell cycle	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP1351	Apoptosis	speciesSpecific	go	GO:0006915	apoptotic process	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP179	Cell Cycle	speciesSpecific	go	GO:0007049	cell cycle	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP429	Cell cycle	speciesSpecific	go	GO:0007049	cell cycle	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP2862	Glycolysis	speciesSpecific	go	GO:0006096	glycolytic process	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP4758	Nephrotic syndrome	speciesSpecific	mesh	D009404	Nephrotic Syndrome	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP1022	Hedgehog Signaling Pathway	speciesSpecific	go	GO:0007224	smoothened signaling pathway	manually_reviewed	orcid:0000-0003-4423-4370
wikipathways	WP1026	One Carbon Metabolism	speciesSpecific	go	GO:0006730	one-carbon metabolic process	manually_reviewed	orcid:0000-0003-4423-4370
