source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	source
kegg.pathway	hsa01210	2-Oxocarboxylic acid metabolism - Homo sapiens (human)	partOf	wikipathways	WP3925	Amino Acid metabolism	manual	compath
kegg.pathway	hsa04152	AMPK signaling pathway - Homo sapiens (human)	skos:exactMatch	wikipathways	WP1403	AMP-activated Protein Kinase (AMPK) Signaling	manual	compath
wikipathways	WP3934	Leptin and adiponectin	partOf	kegg.pathway	WP3934	None	manual	compath
kegg.pathway	hsa00250	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	partOf	wikipathways	WP3925	Amino Acid metabolism	manual	compath
wikipathways	WP106	Alanine and aspartate metabolism	partOf	kegg.pathway	WP106	None	manual	compath
kegg.pathway	hsa05034	Alcoholism - Homo sapiens (human)	partOf	wikipathways	WP2636	Common Pathways Underlying Drug Addiction	manual	compath
kegg.pathway	hsa04925	Aldosterone synthesis and secretion - Homo sapiens (human)	partOf	wikipathways	WP237	None	manual	compath
kegg.pathway	hsa05330	Allograft rejection - Homo sapiens (human)	skos:exactMatch	wikipathways	WP2328	Allograft Rejection	manual	compath
kegg.pathway	hsa05010	Alzheimer disease - Homo sapiens (human)	skos:exactMatch	wikipathways	WP2059	Alzheimers Disease	manual	compath
kegg.pathway	hsa05031	Amphetamine addiction - Homo sapiens (human)	partOf	wikipathways	WP2636	Common Pathways Underlying Drug Addiction	manual	compath
kegg.pathway	hsa05014	Amyotrophic lateral sclerosis - Homo sapiens (human)	skos:exactMatch	wikipathways	WP2447	Amyotrophic lateral sclerosis (ALS)	manual	compath
kegg.pathway	hsa04210	Apoptosis - Homo sapiens (human)	skos:exactMatch	wikipathways	WP254	Apoptosis	manual	compath
wikipathways	WP384	Apoptosis Modulation by HSP70	partOf	kegg.pathway	WP384	None	manual	compath
wikipathways	WP2507	Nanomaterial induced apoptosis	partOf	kegg.pathway	WP2507	None	manual	compath
wikipathways	WP1772	Apoptosis Modulation and Signaling	partOf	kegg.pathway	WP1772	None	manual	compath
wikipathways	WP2507	Nanomaterial induced apoptosis	partOf	kegg.pathway	WP2507	None	manual	compath
wikipathways	WP384	Apoptosis Modulation by HSP70	partOf	kegg.pathway	WP384	None	manual	compath
wikipathways	WP1772	Apoptosis Modulation and Signaling	partOf	kegg.pathway	WP1772	None	manual	compath
kegg.pathway	hsa00330	Arginine and proline metabolism - Homo sapiens (human)	partOf	wikipathways	WP3925	Amino Acid metabolism	manual	compath
kegg.pathway	hsa00330	Arginine and proline metabolism - Homo sapiens (human)	partOf	wikipathways	WP497	Urea cycle and metabolism of amino groups	manual	compath
kegg.pathway	hsa00220	Arginine biosynthesis - Homo sapiens (human)	partOf	wikipathways	WP3925	Amino Acid metabolism	manual	compath
kegg.pathway	hsa00220	Arginine biosynthesis - Homo sapiens (human)	partOf	wikipathways	WP497	Urea cycle and metabolism of amino groups	manual	compath
kegg.pathway	hsa05412	Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)	skos:exactMatch	wikipathways	WP2118	Arrhythmogenic Right Ventricular Cardiomyopathy	manual	compath
kegg.pathway	hsa04662	B cell receptor signaling pathway - Homo sapiens (human)	skos:exactMatch	wikipathways	WP23	B Cell Receptor Signaling Pathway	manual	compath
wikipathways	WP405	Eukaryotic Transcription Initiation	partOf	kegg.pathway	WP405	None	manual	compath
wikipathways	WP2289	Drug Induction of Bile Acid Pathway	partOf	kegg.pathway	WP2289	None	manual	compath
wikipathways	WP106	Alanine and aspartate metabolism	partOf	kegg.pathway	WP106	None	manual	compath
wikipathways	WP497	Urea cycle and metabolism of amino groups	partOf	kegg.pathway	WP497	None	manual	compath
kegg.pathway	hsa01040	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	partOf	wikipathways	WP357	Fatty Acid Biosynthesis	manual	compath
kegg.pathway	hsa05219	Bladder cancer - Homo sapiens (human)	skos:exactMatch	wikipathways	WP2828	Bladder Cancer	manual	compath
kegg.pathway	hsa00232	Caffeine metabolism - Homo sapiens (human)	partOf	wikipathways	WP3633	Caffeine and Theobromine metabolism	manual	compath
wikipathways	WP1946	Cori Cycle	partOf	kegg.pathway	WP1946	None	manual	compath
wikipathways	WP134	Pentose Phosphate Metabolism	partOf	kegg.pathway	WP134	None	manual	compath
wikipathways	WP534	Glycolysis and Gluconeogenesis	partOf	kegg.pathway	WP534	None	manual	compath
wikipathways	WP78	TCA Cycle (aka Krebs or citric acid cycle)	partOf	kegg.pathway	WP78	None	manual	compath
wikipathways	WP241	One Carbon Metabolism	partOf	kegg.pathway	WP241	None	manual	compath
kegg.pathway	hsa04110	Cell cycle - Homo sapiens (human)	skos:exactMatch	wikipathways	WP179	Cell Cycle	manual	compath
wikipathways	WP45	G1 to S cell cycle control	partOf	kegg.pathway	WP45	None	manual	compath
kegg.pathway	hsa04062	Chemokine signaling pathway - Homo sapiens (human)	skos:exactMatch	wikipathways	WP3929	Chemokine signaling pathway	manual	compath
wikipathways	WP197	Cholesterol Biosynthesis Pathway	partOf	kegg.pathway	WP197	None	manual	compath
wikipathways	WP3640	Imatinib and Chronic Myeloid Leukemia	partOf	kegg.pathway	WP3640	None	manual	compath
wikipathways	WP3594	Circadian rhythm related genes	partOf	kegg.pathway	WP3594	None	manual	compath
kegg.pathway	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)	skos:exactMatch	wikipathways	WP78	TCA Cycle (aka Krebs or citric acid cycle)	manual	compath
wikipathways	WP2453	TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc)	partOf	kegg.pathway	WP2453	None	manual	compath
kegg.pathway	hsa05030	Cocaine addiction - Homo sapiens (human)	partOf	wikipathways	WP2636	Common Pathways Underlying Drug Addiction	manual	compath
kegg.pathway	hsa04610	Complement and coagulation cascades - Homo sapiens (human)	skos:exactMatch	wikipathways	WP558	Complement and Coagulation Cascades	manual	compath
wikipathways	WP545	Complement Activation	partOf	kegg.pathway	WP545	None	manual	compath
kegg.pathway	hsa04927	Cortisol synthesis and secretion - Homo sapiens (human)	partOf	wikipathways	WP237	None	manual	compath
kegg.pathway	hsa00270	Cysteine and methionine metabolism - Homo sapiens (human)	partOf	wikipathways	WP3925	Amino Acid metabolism	manual	compath
wikipathways	WP3580	Methionine De Novo and Salvage Pathway	partOf	kegg.pathway	WP3580	None	manual	compath
kegg.pathway	hsa04060	Cytokine-cytokine receptor interaction - Homo sapiens (human)	partOf	wikipathways	WP530	Cytokines and Inflammatory Response	manual	compath
kegg.pathway	hsa04060	Cytokine-cytokine receptor interaction - Homo sapiens (human)	partOf	wikipathways	WP453	Inflammatory Response Pathway	manual	compath
kegg.pathway	hsa03030	DNA replication - Homo sapiens (human)	skos:exactMatch	wikipathways	WP466	DNA Replication	manual	compath
wikipathways	WP1602	Nicotine Activity on Dopaminergic Neurons	partOf	kegg.pathway	WP1602	None	manual	compath
wikipathways	WP2646	Lidocaine metabolism	partOf	kegg.pathway	WP2646	None	manual	compath
wikipathways	WP1604	Codeine and Morphine Metabolism	partOf	kegg.pathway	WP1604	None	manual	compath
wikipathways	WP3871	Valproic acid pathway	partOf	kegg.pathway	WP3871	None	manual	compath
wikipathways	WP1600	Nicotine Metabolism	partOf	kegg.pathway	WP1600	None	manual	compath
wikipathways	WP691	Tamoxifen metabolism	partOf	kegg.pathway	WP691	None	manual	compath
wikipathways	WP2816	Felbamate Metabolism	partOf	kegg.pathway	WP2816	None	manual	compath
wikipathways	WP2491	Diclofenac Metabolic Pathway	partOf	kegg.pathway	WP2491	None	manual	compath
wikipathways	WP1604	Codeine and Morphine Metabolism	partOf	kegg.pathway	WP1604	None	manual	compath
wikipathways	WP3633	Caffeine and Theobromine metabolism	partOf	kegg.pathway	WP3633	None	manual	compath
wikipathways	WP698	Glucuronidation	partOf	kegg.pathway	WP698	None	manual	compath
wikipathways	WP694	Arylamine metabolism	partOf	kegg.pathway	WP694	None	manual	compath
wikipathways	WP2816	Felbamate Metabolism	partOf	kegg.pathway	WP2816	None	manual	compath
wikipathways	WP2536	Colchicine Metabolic Pathway	partOf	kegg.pathway	WP2536	None	manual	compath
wikipathways	WP2826	Cocaine metabolism	partOf	kegg.pathway	WP2826	None	manual	compath
wikipathways	WP2645	Heroin metabolism	partOf	kegg.pathway	WP2645	None	manual	compath
kegg.pathway	hsa04512	ECM-receptor interaction - Homo sapiens (human)	partOf	wikipathways	WP306	Focal Adhesion	manual	compath
kegg.pathway	hsa05213	Endometrial cancer - Homo sapiens (human)	skos:exactMatch	wikipathways	WP4155	Endometrial cancer	manual	compath
kegg.pathway	hsa04012	ErbB signaling pathway - Homo sapiens (human)	skos:exactMatch	wikipathways	WP673	ErbB Signaling Pathway	manual	compath
kegg.pathway	hsa04915	Estrogen signaling pathway - Homo sapiens (human)	skos:exactMatch	wikipathways	WP712	Estrogen signaling pathway	manual	compath
kegg.pathway	hsa00061	Fatty acid biosynthesis - Homo sapiens (human)	skos:exactMatch	wikipathways	WP357	Fatty Acid Biosynthesis	manual	compath
wikipathways	WP206	Fatty Acid Omega Oxidation	partOf	kegg.pathway	WP206	None	manual	compath
