source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	source
wikipathways	WP1	Statin Pathway	orthologous	wikipathways	WP1041	Statin Pathway	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1	Statin Pathway	orthologous	wikipathways	WP1157	Statin Pathway	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1	Statin Pathway	orthologous	wikipathways	WP145	Statin Pathway	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1	Statin Pathway	orthologous	wikipathways	WP430	Statin Pathway	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP10	IL-9 Signaling Pathway	orthologous	wikipathways	WP1320	IL-9 Signaling Pathway	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP10	IL-9 Signaling Pathway	orthologous	wikipathways	WP22	IL-9 Signaling Pathway	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP10	IL-9 Signaling Pathway	orthologous	wikipathways	WP8	IL-9 Signaling Pathway	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP10	IL-9 Signaling Pathway	orthologous	wikipathways	WP974	IL-9 Signaling Pathway	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP100	Glutathione metabolism	orthologous	wikipathways	WP164	Glutathione metabolism	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP100	Glutathione metabolism	orthologous	wikipathways	WP3207	Glutathione metabolism	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP100	Glutathione metabolism	orthologous	wikipathways	WP469	Glutathione metabolism	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1000	Arachidonate Epoxygenase / Epoxide Hydrolase	orthologous	wikipathways	WP678	Arachidonate Epoxygenase / Epoxide Hydrolase	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1001	Peptide GPCRs	orthologous	wikipathways	WP131	Peptide GPCRs	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1001	Peptide GPCRs	orthologous	wikipathways	WP1338	Peptide GPCRs	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1001	Peptide GPCRs	orthologous	wikipathways	WP234	Peptide GPCRs	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1001	Peptide GPCRs	orthologous	wikipathways	WP24	Peptide GPCRs	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1002	Electron Transport Chain	orthologous	wikipathways	WP1119	Electron Transport Chain	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1002	Electron Transport Chain	orthologous	wikipathways	WP1339	Electron Transport Chain	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1002	Electron Transport Chain	orthologous	wikipathways	WP295	Electron Transport Chain	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1002	Electron Transport Chain	orthologous	wikipathways	WP542	Electron Transport Chain	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1002	Electron Transport Chain	orthologous	wikipathways	WP59	Electron Transport Chain	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1004	Kit receptor signaling pathway	orthologous	wikipathways	WP1121	Kit Receptor Signaling Pathway	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1004	Kit receptor signaling pathway	orthologous	wikipathways	WP1341	Kit Receptor Signaling Pathway	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1004	Kit receptor signaling pathway	orthologous	wikipathways	WP147	Kit Receptor Signaling Pathway	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1004	Kit receptor signaling pathway	orthologous	wikipathways	WP304	Kit receptor signaling pathway	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1004	Kit receptor signaling pathway	orthologous	wikipathways	WP407	Kit Receptor Signaling Pathway	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1004	Kit receptor signaling pathway	orthologous	wikipathways	WP774	Kit Receptor Signaling Pathway	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1004	Kit receptor signaling pathway	orthologous	wikipathways	WP886	Kit Receptor Signaling Pathway	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1005	GPCRs, Class B Secretin-like	orthologous	wikipathways	WP334	GPCRs, Class B Secretin-like	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1005	GPCRs, Class B Secretin-like	orthologous	wikipathways	WP378	GPCRs, Class B Secretin-like	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1005	GPCRs, Class B Secretin-like	orthologous	wikipathways	WP456	GPCRs, Class B Secretin-like	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1006	Metapathway biotransformation	orthologous	wikipathways	WP1212	Metapathway biotransformation	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1006	Metapathway biotransformation	orthologous	wikipathways	WP1251	Metapathway biotransformation	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1006	Metapathway biotransformation	orthologous	wikipathways	WP1286	Metapathway biotransformation	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1007	Osteoclast Signaling	orthologous	wikipathways	WP12	Osteoclast Signaling	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1008	Amino acid conjugation of benzoic acid	orthologous	wikipathways	WP1252	Amino acid conjugation of benzoic acid	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1008	Amino acid conjugation of benzoic acid	orthologous	wikipathways	WP1287	Amino acid conjugation of benzoic acid	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1008	Amino acid conjugation of benzoic acid	orthologous	wikipathways	WP1577	Amino acid conjugation of benzoic acid	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1008	Amino acid conjugation of benzoic acid	orthologous	wikipathways	WP521	Amino acid conjugation of benzoic acid	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
wikipathways	WP1009	MAPK Cascade	orthologous	wikipathways	WP1343	MAPK Cascade	lexical	https://github.com/biomappings/biomappings/blob/fbbe2a/scripts/lexical_orthologs.py
