source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	source
wikipathways	WP108	Selenium metabolism/Selenoproteins	speciesSpecific	pw	0000133	selenoamino acid metabolic pathway	manual	wikipathways
wikipathways	WP113	TGF Beta Signaling Pathway	speciesSpecific	pw	0000329	transforming growth factor-beta superfamily mediated signaling pathway	manual	wikipathways
wikipathways	WP116	Hedgehog Signaling Pathway	speciesSpecific	pw	0000122	Hedgehog signaling pathway	manual	wikipathways
wikipathways	WP1243	EBV LMP1 signaling	speciesSpecific	pw	0001057	Epstein-Barr virus infection pathway	manual	wikipathways
wikipathways	WP1246	Hypothetical Network for Drug Addiction	speciesSpecific	pw	0001029	substance dependence pathway	manual	wikipathways
wikipathways	WP1248	Oxidative phosphorylation	speciesSpecific	pw	0001059	oxidative phosphorylation pathway	manual	wikipathways
wikipathways	WP1249	EPO Receptor Signaling	speciesSpecific	pw	0000987	erythropoietin signaling pathway	manual	wikipathways
wikipathways	WP1251	Metapathway biotransformation	speciesSpecific	pw	0000124	cellular detoxification pathway	manual	wikipathways
wikipathways	WP1252	Amino acid conjugation of benzoic acid	speciesSpecific	pw	0000011	amino acid metabolic pathway	manual	wikipathways
wikipathways	WP1253	Type II interferon signaling (IFNG)	speciesSpecific	pw	0000896	type II interferon signaling pathway	manual	wikipathways
wikipathways	WP1256	NLR Proteins	speciesSpecific	pw	0000817	NOD-like receptor signaling pathway	manual	wikipathways
wikipathways	WP1258	Homologous recombination	speciesSpecific	pw	0000202	homologous recombination pathway of double-strand break repair	manual	wikipathways
wikipathways	WP1259	Retinol metabolism	speciesSpecific	pw	0000141	retinol metabolic pathway	manual	wikipathways
wikipathways	WP1262	Aflatoxin B1 metabolism	speciesSpecific	pw	0001366	aflatoxin metabolic pathway	manual	wikipathways
wikipathways	WP1264	Estrogen metabolism	speciesSpecific	pw	0001303	steroid metabolic pathway	manual	wikipathways
wikipathways	WP1265	Polyol pathway	speciesSpecific	pw	0000555	glucose utilization pathway	manual	wikipathways
wikipathways	WP1266	SIDS Susceptibility Pathways	speciesSpecific	pw	0000854	serotonin signaling pathway	manual	wikipathways
wikipathways	WP1270	Endochondral Ossification	speciesSpecific	pw	0000004	regulatory pathway	manual	wikipathways
wikipathways	WP1272	Selenium Micronutrient Network	speciesSpecific	pw	0000133	selenoamino acid metabolic pathway	manual	wikipathways
wikipathways	WP1397	Odorant GPCRs	speciesSpecific	pw	0000125	G protein mediated signaling pathway	manual	wikipathways
wikipathways	WP1398	Orphan GPCRs	speciesSpecific	pw	0000125	G protein mediated signaling pathway	manual	wikipathways
wikipathways	WP150	DNA Replication	speciesSpecific	pw	0000098	DNA replication pathway	manual	wikipathways
wikipathways	WP151	IL-5 Signaling Pathway	speciesSpecific	pw	0000969	interleukin-5 signaling pathway	manual	wikipathways
wikipathways	WP163	Cytoplasmic Ribosomal Proteins	speciesSpecific	pw	0001066	ribosome biogenesis pathway	manual	wikipathways
wikipathways	WP164	Glutathione metabolism	speciesSpecific	pw	0000134	glutathione metabolic pathway	manual	wikipathways
wikipathways	WP166	Apoptosis Modulation by HSP70	speciesSpecific	pw	0000009	apoptotic cell death pathway	manual	wikipathways
wikipathways	WP1770	One carbon metabolism and related pathways	speciesSpecific	pw	0000189	folate mediated one-carbon metabolic pathway	manual	wikipathways
wikipathways	WP189	GPCRs, Class A Rhodopsin-like	speciesSpecific	pw	0000125	G protein mediated signaling pathway	manual	wikipathways
wikipathways	WP18	Heme Biosynthesis	speciesSpecific	pw	0000218	heme biosynthetic pathway	manual	wikipathways
wikipathways	WP193	Signaling of Hepatocyte Growth Factor Receptor	speciesSpecific	pw	0000578	scatter factor/hepatocyte growth factor signaling pathway	manual	wikipathways
wikipathways	WP1983	Splicing factor NOVA regulated synaptic proteins	speciesSpecific	pw	0000333	cadherin mediated signaling pathway	manual	wikipathways
wikipathways	WP1	Statin Pathway	speciesSpecific	pw	0001933	hypercholesterolemia pathway	manual	wikipathways
wikipathways	WP1	Statin Pathway	speciesSpecific	pw	0000724	statin drug pathway	manual	wikipathways
wikipathways	WP200	Complement Activation, Classical Pathway	speciesSpecific	pw	0000503	classical complement pathway	manual	wikipathways
wikipathways	WP201	Ptf1a related regulatory pathway	speciesSpecific	pw	0000716	transcription factor mediated signaling pathway	manual	wikipathways
wikipathways	WP202	Hypertrophy Model	speciesSpecific	pw	0000013	disease pathway	manual	wikipathways
